x,y,z
-8.77548,-9.7392,26.4247
-8.78512,-9.74328,26.4397
-8.7947,-9.74725,26.4548
-8.80423,-9.75109,26.47
-8.8137,-9.75481,26.4852
-8.82311,-9.75841,26.5006
-8.83246,-9.76188,26.516
-8.84175,-9.76522,26.5315
-8.85099,-9.76844,26.5471
-8.86016,-9.77153,26.5628
-8.86928,-9.7745,26.5785
-8.87833,-9.77733,26.5943
-8.88732,-9.78003,26.6102
-8.89625,-9.7826,26.6262
-8.90511,-9.78504,26.6422
-8.91391,-9.78735,26.6583
-8.92264,-9.78952,26.6744
-8.93131,-9.79156,26.6907
-8.93992,-9.79346,26.7069
-8.94845,-9.79523,26.7233
-8.95692,-9.79686,26.7397
-8.96532,-9.79835,26.7561
-8.97365,-9.7997,26.7726
-8.98191,-9.80092,26.7891
-8.9901,-9.80199,26.8057
-8.99822,-9.80293,26.8224
-9.00627,-9.80372,26.8391
-9.01424,-9.80437,26.8558
-9.02214,-9.80488,26.8726
-9.02997,-9.80525,26.8894
-9.03772,-9.80547,26.9062
-9.0454,-9.80555,26.9231
-9.053,-9.80549,26.94
-9.06053,-9.80528,26.9569
-9.06797,-9.80493,26.9738
-9.07534,-9.80443,26.9908
-9.08263,-9.80378,27.0078
-9.08984,-9.80299,27.0248
-9.09698,-9.80205,27.0419
-9.10403,-9.80096,27.0589
-9.111,-9.79973,27.076
-9.11788,-9.79835,27.0931
-9.12469,-9.79682,27.1102
-9.13141,-9.79514,27.1273
-9.13805,-9.79332,27.1444
-9.1446,-9.79134,27.1615
-9.15107,-9.78922,27.1786
-9.15745,-9.78694,27.1957
-9.16374,-9.78452,27.2128
-9.16995,-9.78195,27.2299
-9.17607,-9.77923,27.247
-9.1821,-9.77636,27.2641
-9.18805,-9.77334,27.2811
-9.1939,-9.77017,27.2982
-9.19966,-9.76686,27.3152
-9.20533,-9.76339,27.3322
-9.21091,-9.75977,27.3492
-9.2164,-9.75601,27.3662
-9.2218,-9.75209,27.3831
-9.2271,-9.74803,27.4
-9.23231,-9.74382,27.4169
-9.23743,-9.73946,27.4338
-9.24245,-9.73495,27.4506
-9.24737,-9.73029,27.4673
