dist,sum_dist
6.09e-05,-0.0511981
6.1e-05,-9.67456
6.11e-05,-18.2384
6.12e-05,-20.703
6.13e-05,-14.6889
6.14e-05,-13.9745
6.15e-05,-22.4733
6.16e-05,-19.4774
6.17e-05,-44.5957
6.18e-05,2.23698
6.19e-05,7.62156
6.2e-05,-13.2062
6.21e-05,-16.0942
6.22e-05,6.37319
6.23e-05,-21.2362
6.24e-05,-17.8728
6.25e-05,-13.5634
6.26e-05,-39.137
6.27e-05,10.455
6.28e-05,-20.3939
6.29e-05,-10.8749
6.3e-05,-10.4372
6.31e-05,-31.3249
6.32e-05,-40.6168
6.33e-05,-17.1002
6.34e-05,12.1402
6.35e-05,-9.15188
6.36e-05,0.287868
6.37e-05,-15.8632
6.38e-05,-38.347
6.39e-05,-8.55495
6.4e-05,0.43189
6.41e-05,-49.2484
6.42e-05,-11.0854
6.43e-05,-18.238
6.44e-05,-12.5268
6.45e-05,-8.19565
6.46e-05,-14.233
6.47e-05,-23.2776
6.48e-05,3.43932
6.49e-05,-2.2576
6.5e-05,-21.6408
6.51e-05,-13.1994
6.52e-05,-18.3688
6.53e-05,-8.93193
6.54e-05,-6.69411
6.55e-05,-12.5084
6.56e-05,-14.8724
6.57e-05,-50.3286
6.58e-05,-20.0508
6.59e-05,-25.9805
6.6e-05,0.626307
6.61e-05,-26.3869
6.62e-05,-15.0517
6.63e-05,-38.2497
6.64e-05,-4.36952
6.65e-05,-17.1909
6.66e-05,0.180377
6.67e-05,-9.41281
6.68e-05,-16.1704
6.69e-05,-21.7372
6.7e-05,-19.1894
6.71e-05,-5.47655
6.72e-05,-17.2146
6.73e-05,-37.7848
6.74e-05,-9.5299
6.75e-05,-22.8833
6.76e-05,25.6462
6.77e-05,5.72771
6.78e-05,-4.09
6.79e-05,-8.2312
6.8e-05,-44.5469
6.81e-05,-22.1732
6.82e-05,-25.3545
6.83e-05,-18.2282
6.84e-05,-2.73303
6.85e-05,-7.67343
6.86e-05,-19.9587
6.87e-05,-27.2579
6.88e-05,-14.8053
6.89e-05,-5.34863
6.9e-05,-28.6521
6.91e-05,-20.8237
6.92e-05,-5.99089
6.93e-05,-25.0955
6.94e-05,-33.0102
6.95e-05,18.793
6.96e-05,-20.7872
6.97e-05,1.10359
6.98e-05,12.4843
6.99e-05,-26.8899
7e-05,-12.5435
7.01e-05,-4.54441
7.02e-05,-13.8803
7.03e-05,24.0556
7.04e-05,-26.9962
